TAG,date_capture,start_hour
46,31/03/2020,10:18:00
47,31/03/2020,12:44:00
48,07/04/2020,11:40:00
49,07/04/2020,12:49:00
54,07/04/2020,13:50:00
56,12/04/2020,13:55:00
57,12/04/2020,14:20:00
58,14/04/2020,9:40:00
59,14/04/2020,11:30:00
60,14/04/2020,11:40:00
62,14/04/2020,13:05:00
63,14/04/2020,13:15:00
64,17/04/2020,9:20:00
65,17/04/2020,9:30:00
66,17/04/2020,9:40:00
67,17/04/2020,11:25:00
68,17/04/2020,11:40:00
69,17/04/2020,14:50:00
70,17/04/2020,15:40:00
72,21/04/2020,12:05:00
73,21/04/2020,11:05:00
74,21/04/2020,15:38:00
75,21/04/2020,14:15:00
77,08/05/2020,10:50:00
80,21/04/2020,14:40:00
81,21/04/2020,13:00:00
82,01/05/2020,14:10:00
85,17/04/2020,15:45:00
86,01/05/2020,11:15:00
87,21/04/2020,11:45:00
88,01/05/2020,13:10:00
89,08/05/2020,13:19:00
90,08/05/2020,10:40:00
131,15/05/2020,15:45:00
132,15/05/2020,9:30:00
133,15/05/2020,11:50:00
134,15/05/2020,10:00:00
135,15/05/2020,13:30:00
168,08/05/2020,14:00:00
169,08/05/2020,16:50:00
170,08/05/2020,13:20:00
171,15/05/2020,12:50:00
172,21/05/2020,11:30:00
173,15/05/2020,11:20:00
174,15/05/2020,17:15:00
175,02/06/2020,9:30:00
176,21/05/2020,12:25:00
177,21/05/2020,17:00:00
179,02/06/2020,9:45:00
180,02/06/2020,11:05:00
181,02/06/2020,11:50:00
182,02/06/2020,14:35:00
183,02/06/2020,15:29:00
184,09/06/2020,14:20:00
186,09/06/2020,10:35:00
189,09/06/2020,14:40:00
193,09/06/2020,14:50:00
196,09/06/2020,17:26:00
